"","LakeNo","Lake_Name","Ecoregion","Latitude","Longitude","Surface.Area..km2.","Max.Depth..m.","Mean.Depth..m.","Volume..m3.","WatershedArea..km2.","Crop","Grassland","Water","Forest","Urban","year","Ammonia-nitrogen (AS N)","Calcium carbonate (AS CACO3)","Chlorophyll a","Depth, Secchi disk depth","Depth, thermocline","Dissolved oxygen (DO)","Dissolved oxygen saturation","Fixed suspended solids","Inorganic nitrogen (nitrate and nitrite) (AS N)","Kjeldahl nitrogen (AS N)","Orthophosphate (AS P)","pH","Phycocyanin","Specific conductance","Temperature, water","Total dissolved solids","Total suspended solids","Turbidity","Total Phosphorus (AS P)","Cladocera","Copepoda","Rotifera","Daphnia","Total_Zoops","ppt","springT","MicrocystinDetect","Total nitrogen","N:P ratio"
"1",1,"Arbor Lake","47f",41.73170603,-96.3245431,0.05,5.88,2.1,114220.248,3.96,12.8,22.6,3.3,9,52.3,2017,0.106333333333333,123,24,0.533333333333333,1.96666666666667,10.6666666666667,124.233333333333,10.3333333333333,0.213333333333333,1.6,0.0124666666666667,8.53333333333333,9.2,473.666666666667,22.5666666666667,308,22,53.1666666666667,0.1298,66.5219268926667,65.8955253216667,23.121276761,5.184727566,155.538728975333,459.473007202148,9.28033399581909,TRUE,1.81333333333333,30.8926467135498
"2",1,"Arbor Lake","47f",41.73170603,-96.3245431,0.05,5.88,2.1,114220.248,3.96,12.8,22.6,3.3,9,52.3,2018,0.211,114,23.3333333333333,0.5,1.50000333333333,8.4,100.333333333333,25.1666666666667,0.626666666666667,1.30333333333333,0.0267333333333333,7.86666666666667,47.6666666666667,504.666666666667,23.4333333333333,327.666666666667,36.5,19.1666666666667,0.143466666666667,44.0965494793333,85.7587095943333,5.14545980166667,11.2118246325,135.000718875333,457.772012710571,8.30466731389364,FALSE,1.93,29.7480475110294
"3",1,"Arbor Lake","47f",41.73170603,-96.3245431,0.05,5.88,2.1,114220.248,3.96,12.8,22.6,3.3,9,52.3,2019,0.141883333333333,118.556666666667,5.26666666666667,0.44,2.66666666666667,7.81666666666667,93.3733333333333,16,0.306066666666667,0.784166666666667,0.0108,8.03666666666667,46.2233333333333,518.393333333333,24.32,337.066666666667,23.6666666666667,12.9633333333333,0.0826833333333333,76.5166666666667,539.5,2,7.63333333333333,618.016666666667,719.640998840332,7.50783330202103,TRUE,1.09023333333333,29.157725626489
"4",1,"Arbor Lake","47f",41.73170603,-96.3245431,0.05,5.88,2.1,114220.248,3.96,12.8,22.6,3.3,9,52.3,2021,0.178666666666667,105.6,58.0119333333333,0.4,1.86666666666667,7.32722233333333,89.2388766666667,13.1666666666667,0.267666666666667,1.21,0.01,8.02018533333333,126.900313333333,479.459266666667,24.6851833333333,311.629666666667,19.6666666666667,13.9755566666667,0.106,NA,NA,NA,NA,NA,448.233594894409,10.8756664594014,TRUE,1.47766666666667,30.8263976726821
"5",1,"Arbor Lake","47f",41.73170603,-96.3245431,0.05,5.88,2.1,114220.248,3.96,12.8,22.6,3.3,9,52.3,2022,0.0796666666666667,111.263333333333,13.6333333333333,0.466666666666667,1.55333333333333,8.63,100,7.66666666666667,0.26875,0.839,0.0293333333333333,8.02,199.603333333333,548.233333333333,22.1,356.4,18.3333333333333,17.7,0.109,NA,NA,NA,NA,NA,NA,NA,TRUE,1.10775,22.4733298488371
"6",2,"Arrowhead Lake (Pottawatamie)","47e",41.43590824,-95.59291005,0.06,4.24,1.86,106202.628,4.19,55.3,37.2,1.5,4,2,2017,0.07,202,11.3333333333333,1.26666666666667,1.50000333333333,7.46666666666667,91.2333333333333,5.53333333333333,0.993333333333333,1.47333333333333,0.0092,8.16666666666667,67,438.333333333333,25.7666666666667,284.666666666667,9.33333333333333,4.83333333333333,0.1465,79.849708118,58.6798090006667,1.10479745066667,142.0149981,113.017745196667,449.178995132446,10.5810006459554,TRUE,2.46666666666667,37.2327406912503
"7",2,"Arrowhead Lake (Pottawatamie)","47e",41.43590824,-95.59291005,0.06,4.24,1.86,106202.628,4.19,55.3,37.2,1.5,4,2,2018,0.0733333333333333,165.333333333333,59.3333333333333,0.633333333333333,1.80000333333333,7.7,93.7,1.46666666666667,1.1,1.24333333333333,0.0059,7.96666666666667,30.3333333333333,427,24.3666666666667,277.333333333333,9.66666666666667,8.1,0.117466666666667,114.325065216667,12.4042471296667,8.519811712,31.1534889895,135.249124058333,414.544006347656,9.68666712443034,TRUE,2.34333333333333,44.1135075400519
"8",2,"Arrowhead Lake (Pottawatamie)","47e",41.43590824,-95.59291005,0.06,4.24,1.86,106202.628,4.19,55.3,37.2,1.5,4,2,2019,0.165716666666667,205.653333333333,16.2,1.395,1.90000333333333,8.67333333333333,102.086666666667,8.33333333333333,1.53103333333333,1.40361666666667,0.01555,7.82333333333333,90.8666666666667,505.94,23.3266666666667,328.98,16,6.12333333333333,0.111483333333333,273.666666666667,64.1833333333333,1.27666666666667,204.766666666667,339.126666666667,582.820993423462,8.48463327685992,TRUE,2.93465,58.2101250807653
"9",2,"Arrowhead Lake (Pottawatamie)","47e",41.43590824,-95.59291005,0.06,4.24,1.86,106202.628,4.19,55.3,37.2,1.5,4,2,2021,0.0276666666666667,155.506666666667,66.2029633333333,0.558333333333333,1.53333333333333,8.29578666666667,98.3104666666667,4.86666666666667,0.473,1.088,0.01,8.49942866666667,95.7836533333333,366.3838,24.3171966666667,238.092866666667,12.1666666666667,23.2280713333333,0.110666666666667,NA,NA,NA,NA,NA,422.256996154785,10.8547665278117,FALSE,1.561,31.1916421307419
"10",2,"Arrowhead Lake (Pottawatamie)","47e",41.43590824,-95.59291005,0.06,4.24,1.86,106202.628,4.19,55.3,37.2,1.5,4,2,2022,0.0543333333333333,176.996666666667,109.633333333333,0.6,1.9,6.95666666666667,85.5033333333333,15.6666666666667,0.152,1.5505,0.026,8.19333333333333,238.613333333333,387.1,25.2333333333333,251.666666666667,20.5,16.6666666666667,0.1465,NA,NA,NA,NA,NA,NA,NA,TRUE,1.7025,25.6981382541299
